Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(3, 20)",0.04389001733751854,60,1041.045064296459,1024.9162700274096,1070.5101043025138
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(3, 20)",0.029785910795299284,60,3058.903598496232,3019.3513385270567,3109.035312582574
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(3, 20)",0.023477217741601393,60,2001.0186371056943,1979.620891478843,2025.7809129335476
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(3, 20)",0.045896657350711294,60,448.7191094490745,440.51305772422273,461.482927431364
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(3, 20)",0.019130749629103,60,9065.497532955394,9005.121046815422,9181.314278829816
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(3, 20)",0.024778554213769087,60,8541.738318551375,8444.470456613357,8660.113199380088
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(3, 20)",0.025709213082286773,60,2008.8668749675926,1986.1739248174852,2038.0116447397688
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(3, 20)",0.022862853754512375,60,9699.928530311825,9608.249337525982,9829.352246745035
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(3, 20)",0.013525773112512823,60,10033.979480818985,9972.380654754921,10109.64921367995
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(3, 20)",0.02600355768443651,60,2359.4176365797757,2329.235713857608,2391.6988929380605
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(3, 20)",0.018852038279443813,60,27847.598756898577,27624.639172447358,28145.358065558255
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(3, 20)",0.02327965417199227,60,7348.7190375288,7284.021723662264,7452.651019428756
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(3, 20)",0.017021640957847643,60,7339.08143864236,7289.292237631647,7421.579992344443
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(3, 20)",0.018420412985895397,60,106686.10667353497,106000.83215660395,108061.73176928806
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(3, 20)",0.02355654038540349,60,53591.44699686553,53013.74049995076,54276.48873170969
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(3, 20)",0.019829285270447774,60,26415.59739377219,26213.58022296696,26738.318694155125
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(3, 20)",0.018197576073461535,60,4694.96975026505,4661.573003830316,4746.900967478953
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(3, 20)",0.020991673175267074,60,1708.8173678698215,1690.341366957287,1726.5701428119162
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(3, 20)",0.03470594752617759,60,2586.2564522660828,2551.2536688153014,2639.018197876775
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(3, 20)",0.0208923017225228,60,4866.787126034897,4825.090501844716,4926.39443510748
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(3, 20)",0.022284643243550194,60,14607.916409052717,14483.621388877917,14809.778151274864
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(3, 20)",0.024047798562278757,60,8253.187119730781,8173.841350091081,8367.26307720086
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(3, 20)",0.1720326552345491,60,3105.997586150678,2980.0378548397057,3513.3481820807965
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(3, 20)",0.05911630206968139,60,3100.2845410094365,2999.1864458217156,3190.757237034021
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(3, 20)",0.0875545601205757,60,8230.517081918717,8012.9845276595315,8700.06643470636
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(3, 20)",0.0679223733288759,60,1318.8691618324149,1284.997528210568,1374.3904974666987
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(3, 20)",0.03641391678165881,60,1415.2154771688902,1393.309315232803,1443.3596201554428
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(3, 20)",0.023847886797441764,60,26043.957254116376,25755.84253601049,26393.76770914365
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(3, 20)",0.028700323335593792,60,5969.0125098911685,5893.750410971567,6065.052891711424
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(3, 20)",0.02320068999524283,60,6294.31941339162,6232.419459572313,6379.3338521984715
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(3, 20)",0.015389454593834477,60,43648.70315589357,43368.0626721667,44039.91616616605
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(3, 20)",0.021591561769313757,60,15802.133107572496,15669.688818506258,16004.555101601882
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(3, 20)",0.016598127610886363,60,22679.92196097841,22540.261422798343,22916.892899137172
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(3, 20)",0.014405949923267117,60,9906.359987467335,9852.881643592402,9994.824137539463
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,"(3, 20)",0.03829022359296208,60,127.75355598932866,126.55122537833525,131.4508056553138
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(3, 20)",0.03836276609809703,60,46.11776507863281,45.36511663364521,47.13477311424416
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,"(3, 20)",0.011235440838487102,60,126.24326606504184,125.59725093257266,127.03557064552858
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(3, 20)",0.01685088522002112,60,44.641559962918876,44.320597442324846,45.0864532801146
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_Actuate,"(3, 20)",0.019221938199500462,60,125.17971768346898,124.15850384318735,126.6149083208697
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(3, 20)",0.019263157416901773,60,44.98013860268711,44.637427767480744,45.50038186476897
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,"(3, 20)",0.048151751282102424,60,62.188401956643546,60.503437806766925,63.56399210488714
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,"(3, 20)",0.04600253595376603,60,63.896738317716895,62.46035897196164,65.3920025216747
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,"(3, 20)",0.044857824493638884,60,4216.045752539348,4136.697182157983,4321.116585892465
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,"(3, 20)",0.04065729896204895,60,10901.584619311336,10758.903484149127,11193.955550487513
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,"(3, 20)",0.0604876114207537,60,1369.2759404023082,1335.8223584199864,1417.6482840565475
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,"(3, 20)",0.091040541293881,60,481.19451242375425,463.63243366535386,506.8109875368183
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,"(3, 20)",0.06551042513107985,60,330.53843925702796,321.70710825252,342.78628361670957
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,"(3, 20)",0.10866231807303312,60,315.5387381641149,302.5048312291438,337.6425116125256
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,"(3, 20)",0.1409504718726228,60,244.94746190043668,233.51165803111428,267.45167701482006
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,"(3, 20)",0.08465875707453534,60,476.63686963509156,460.9327150748597,502.5656325778083
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,"(3, 20)",0.10380448940493589,60,160.6634950537191,156.67291330914188,173.2498484859991
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,"(3, 20)",0.18308546437979195,60,279.3845048435762,265.3831788164328,317.393393972706
