Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(3, 20)",0.019221494244892466,60,14650.663845007915,14522.413397584793,14794.585848183264
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(3, 20)",0.05087293257465658,60,8199.031689908257,8016.935991299409,8423.939220321423
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(3, 20)",0.0334355287320726,60,2938.7667468593436,2891.3189085422696,2988.009626507739
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(3, 20)",0.030437419179707777,60,3245.6682613377593,3200.6129108239816,3297.5156929490804
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(3, 20)",0.02359760547773569,60,8020.075784879116,7937.474211893837,8124.511524746284
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(3, 20)",0.049963657040955685,60,1287.4036609824243,1257.6958655914411,1322.4979521580312
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(3, 20)",0.05560952649349208,60,1441.5860833274987,1406.366230771134,1484.9701782120837
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(3, 20)",0.01654168710334145,60,25411.502701437443,25218.382545578064,25639.94266421546
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(3, 20)",0.026770153373416476,60,6005.452657401291,5928.087524696044,6088.9903037226695
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(3, 20)",0.01931420577602074,60,6301.807740332596,6244.942628523522,6365.878639283511
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(3, 20)",0.026645350041751014,60,45002.51658565278,44407.625562770765,45621.358700922254
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(3, 20)",0.017680740191470024,60,15847.569799023853,15716.48738307124,16002.160736425592
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(3, 20)",0.026840915233414343,60,21919.10129231658,21628.84227162644,22215.080287582125
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(3, 20)",0.011748527719274563,60,11251.081274684831,11189.174110309972,11322.262222479643
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,"(3, 20)",0.026656402915195804,60,127.63589914365768,126.01753053957741,129.43266972823628
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(3, 20)",0.03464371068534087,60,44.661942025963064,44.09740622589603,45.63169654985849
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,"(3, 20)",0.015467355207489965,60,127.51562546030377,126.64458772202137,128.64684694370496
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(3, 20)",0.028379608291553997,60,45.43150701159195,44.798209896047744,46.085126601431355
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_Actuate,"(3, 20)",0.026055001857996276,60,129.23452447221962,127.63722436892304,130.99747390559884
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(3, 20)",0.015462249476086001,60,45.09163571291136,44.76702544559855,45.47301360817107
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(3, 20)",0.02848368324816973,60,27333.265222582075,26942.15965098705,27731.372243962054
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(3, 20)",0.02150299072846386,60,7314.378784291724,7237.650241741752,7395.1556301045675
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(3, 20)",0.01569764377523845,60,7435.209477197467,7376.716387799688,7497.082867950235
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(3, 20)",0.022328836912838945,60,106072.22954568082,105017.69162081444,107324.63951636864
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(3, 20)",0.018909451561626853,60,53496.142216319844,53021.172718582566,54008.0018383585
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(3, 20)",0.0578375135917674,60,27564.65584058269,26860.8602659643,28443.687991471244
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(3, 20)",0.01696285646483415,60,4791.651986478545,4752.086828774412,4833.749011704182
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(3, 20)",0.016543360270785915,60,1694.2950299598867,1681.4542951510255,1709.3736819859214
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(3, 20)",0.015778387647368077,60,2531.7283822996105,2512.3322903120243,2553.5247490429438
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(3, 20)",0.02064135514479917,60,4742.839709537145,4698.761978474584,4792.2270467270455
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(3, 20)",0.034482899287158864,60,1188.5349369303897,1170.111977736982,1211.1035347911
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(3, 20)",0.019985851524510344,60,3109.782412837967,3080.812329977587,3143.0986766770666
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(3, 20)",0.03642144855034834,60,2064.421710820725,2029.4316552281425,2103.4810468380965
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(3, 20)",0.063345647245274,60,500.13859148647373,487.2094573462266,519.0517112325832
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(3, 20)",0.023454602234777522,60,9163.777847331752,9066.450708777415,9284.571403317661
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(3, 20)",0.018637852900267086,60,8523.797539203519,8447.237399608546,8603.83071649478
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(3, 20)",0.024846218456927246,60,2327.265246959787,2298.962958375687,2358.1333625753373
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(3, 20)",0.025342794357004445,60,9958.03950556984,9838.890689506276,10092.374229085457
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(3, 20)",0.01494843359527938,60,10026.27690498029,9954.625629172659,10102.560132828268
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(3, 20)",0.03375109104464337,60,2668.5860037265825,2626.3191540722764,2717.671222168385
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,"(3, 20)",0.04384547084150452,60,59.18246762625984,57.96859713716581,60.48961110791765
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,"(3, 20)",0.02996187710199574,60,61.21527893653517,60.36549551726053,62.1540995933081
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,"(3, 20)",0.029764956869736993,60,4073.976735870983,4015.0431655168804,4134.612769698221
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,"(3, 20)",0.020692442353944202,60,10796.416056782336,10692.864514722589,10917.6387292577
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,"(3, 20)",0.055417032222655635,60,1312.196736958413,1279.2755927789256,1352.0178450716674
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,"(3, 20)",0.1021278391624183,60,458.99107467096854,435.82948257868185,484.0542754895472
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,"(3, 20)",0.08708784234734653,60,331.8818900688695,319.22625633868716,348.59431723215835
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,"(3, 20)",0.09033326671522245,60,314.9166820386626,302.98322029947764,330.3345864052353
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,"(3, 20)",0.10590169192322262,60,248.15909835298672,236.85773853873,262.7112930009321
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,"(3, 20)",0.07846378733185387,60,461.37638677430306,444.4928123259551,480.2945933441212
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,"(3, 20)",0.1009791554396039,60,163.21749591838332,156.09626750861523,172.5044213974674
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,"(3, 20)",0.1290573395631919,60,287.9951398527133,273.3726736871282,310.27813550963515
