Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,"(3, 20)",0.04128708039215313,60,18893.835210277957,18662.269945863976,19172.27380366072
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(3, 20)",0.026736226013780052,60,14589.325490758822,14466.12209602503,14722.43914706519
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(3, 20)",0.05026560566029985,60,8039.469709406228,7925.754212210908,8189.831586045359
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(3, 20)",0.047031064675202745,60,2971.7440891567812,2928.4505128059604,3022.735517288343
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(3, 20)",0.091686738163155,60,3116.9554011857613,3020.534712996108,3211.327510711068
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(3, 20)",0.07242865331418825,60,7976.085618593978,7822.456254623722,8216.907947388478
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(3, 20)",0.1038393010589965,60,1320.6201122979755,1277.950563785606,1369.7296876704556
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(3, 20)",0.0960370881013863,60,1460.7822453333267,1418.8442062052297,1512.1107663224102
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(3, 20)",0.020148141241553667,60,25603.313930611726,25451.866965361136,25797.470306416857
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(3, 20)",0.046718503126093165,60,6011.075785683772,5924.810857635751,6110.533336837074
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(3, 20)",0.057882761964433614,60,2438.177000674032,2393.2283675962094,2487.2553360190655
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(3, 20)",0.034587298104136084,60,4789.487188396332,4739.990271194078,4847.4534982118275
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(3, 20)",0.061745285587891344,60,1211.123716659374,1188.5377373711995,1239.2962978550001
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(3, 20)",0.03193041317277879,60,3108.101843356083,3076.7804975057816,3142.433060434954
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(3, 20)",0.06131138087011356,60,2069.0239606186587,2035.6796596205456,2118.0205515916164
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(3, 20)",0.06539960769847991,60,494.52524418250886,484.40266354902485,505.47845876069687
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(3, 20)",0.015605474124889118,60,9193.519093043607,9147.05180797332,9244.379772539995
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(3, 20)",0.04753826882139072,60,8601.02756026787,8465.687271512867,8739.35983448845
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(3, 20)",0.041872721180020424,60,2331.4036095450747,2303.696975287699,2367.8858558568027
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(3, 20)",0.035125898654861674,60,9830.713091006788,9726.95027839231,9960.04582307311
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(3, 20)",0.035303638593654846,60,6377.445724460517,6307.902329388763,6454.7202526929095
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(3, 20)",0.03107854746703721,60,27982.6383955404,27718.934875884348,28276.330363620837
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(3, 20)",0.057280253659931724,60,7406.10487042461,7287.648411224622,7570.116068088073
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(3, 20)",0.0249364620125944,60,7319.962207202626,7261.373151394493,7382.1444059820915
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(3, 20)",0.03799913005558519,60,107307.97095661666,106141.42240430461,108851.69524145032
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(3, 20)",0.02418515283351135,60,52178.69809752688,51779.46198147114,52634.056168310286
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(3, 20)",0.03134790007093744,60,26672.594881318484,26419.649312534744,26969.806108264143
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,"(3, 20)",0.05349998672075648,60,4814.73724933221,4734.675290299011,4906.583813443059
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(3, 20)",0.048608624061729326,60,4693.486773398022,4621.162042445443,4772.751534556832
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(3, 20)",0.07182573652098524,60,1720.5747047468078,1686.0959395439377,1768.7464505906908
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(3, 20)",0.02861862668671751,60,10051.643269524806,9960.16401771128,10155.009478906968
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(3, 20)",0.04178767487685314,60,2650.2531095762665,2615.864474501271,2689.942810534999
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(3, 20)",0.022095966325515987,60,43662.03785290075,43351.93283425363,43988.78742676258
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(3, 20)",0.02229106389792267,60,15594.584839028013,15486.154591212253,15718.012110408241
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(3, 20)",0.04045747541593879,60,22318.227469240515,22012.75929582902,22613.339736941176
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(3, 20)",0.021778861065960695,60,11253.37882835911,11181.781608960131,11341.7711419103
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,"(3, 20)",0.020467587245303325,60,126.29680830646294,125.4516629500006,127.14315965764136
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(3, 20)",0.020748656859732685,60,44.68668827139709,44.40356218781484,45.02102642606079
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,"(3, 20)",0.014731555980905994,60,123.60921037900766,123.04815748009725,124.24446223165542
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(3, 20)",0.061212109660443784,60,45.87600044880329,45.01804049618927,46.88634428537341
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,"(3, 20)",0.19122818712875317,60,166.3595627591234,158.84825044978197,179.06994201114657
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,"(3, 20)",0.12738802249245376,60,278.96832968232883,268.44383061744645,291.62816083549995
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,"(3, 20)",0.05531894460877207,60,59.84580459350857,58.78684614917019,60.94456940023336
