Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(3, 20)",0.10610536415447464,60,6077.578107228253,5711.852682310307,6150.779445114596
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(3, 20)",0.031337396922083816,60,27551.494319531434,27368.348136133525,27715.192899741563
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(3, 20)",0.15083936014834243,60,7265.027828219523,7216.149802594473,7329.573582959816
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(3, 20)",0.019760476366627644,60,7334.101077325951,7286.149623469892,7389.870214779342
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(3, 20)",0.036324942767825136,60,105858.86241072117,105419.90508623284,106368.16347381864
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(3, 20)",0.014294791444256355,60,51931.17265024113,51840.29574247144,52078.143415906125
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(3, 20)",0.031158689066673136,60,26579.13176538479,26428.8857926958,26868.79854844149
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,"(3, 20)",0.03799204602992449,60,4752.216711898356,4729.284251150364,4821.900442863542
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(3, 20)",0.03784725892444173,60,4643.107074458632,4587.3184190358015,4697.931680230069
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(3, 20)",0.0391705684358872,60,1693.683593492653,1682.5444456472605,1720.1732179719552
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,"(3, 20)",0.02992868624074724,60,18435.32313775042,18378.627270837864,18503.64979967354
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(3, 20)",0.05270309825701538,60,14536.056503251313,14335.218055473533,15204.367995205272
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(3, 20)",0.026981640038396378,60,7995.778677195729,7959.418839068474,8033.316262033384
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(3, 20)",0.05929859380595288,60,2933.7181562472715,2864.0263465603844,3027.3790197383014
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(3, 20)",0.04513645803961053,60,3260.1080152999925,3237.1471420234657,3325.430246189918
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(3, 20)",0.038805803050678954,60,7886.618776146966,7776.223891625616,7973.433910294532
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(3, 20)",0.5313750378886455,60,1319.8516001903217,1267.583632546398,1349.3404593777868
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(3, 20)",0.08720372163844552,60,1399.2702666729306,1393.4892363170852,1431.2521718356516
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(3, 20)",0.01891287097902421,60,26000.689586223263,25867.47655130043,26132.228428164985
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(3, 20)",0.11052932197257774,60,5926.089203667193,5832.347531797533,6062.769230769231
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(3, 20)",0.03135792385367646,60,10255.521275867817,10152.081596164006,10321.74654942444
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(3, 20)",0.030829937621840796,60,2658.204614697869,2602.809005566171,2671.955043473682
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(3, 20)",0.05337637517698927,60,44428.73869418376,44072.62779482683,46730.272702027214
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(3, 20)",0.019529916767320788,60,15606.875433238974,15514.66633497108,15651.166718565111
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(3, 20)",0.03282333140477818,60,22824.60034824047,22656.266184448465,23320.557832808787
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(3, 20)",0.021313404270266588,60,11224.25810139771,11152.162104514751,11294.830167616528
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,"(3, 20)",0.046752733479529615,60,128.64144937034783,124.67800586317924,130.13395633751904
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(3, 20)",0.053936627446328794,60,44.99574280334626,44.75919916192627,45.239481124230835
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,"(3, 20)",0.0173708044242249,60,125.46035318473584,124.6833505517367,126.6487142390442
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(3, 20)",0.03807897563324612,60,44.48930609237786,44.29443117857752,44.68713749573524
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(3, 20)",0.04730523586050693,60,2524.15236405197,2483.0754391606397,2550.5279100281164
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(3, 20)",0.04742533607035926,60,4892.383948544206,4806.367356375242,5125.842634428298
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(3, 20)",0.045324448342475884,60,1166.6008991928452,1163.6993093420574,1213.2461037606063
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(3, 20)",0.048169074685231364,60,3116.7725291316683,3085.236165970487,3169.3151424576968
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(3, 20)",0.04107701997960616,60,2045.0142933359546,2026.5490011307957,2082.3902241594024
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(3, 20)",0.04401941666155633,60,476.66864294690106,473.69478901080015,480.8731349997432
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(3, 20)",0.026472720715810635,60,9065.98490315453,8982.512106012106,9235.755427558706
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(3, 20)",0.01926885197125497,60,8317.413192198372,8281.980913906365,8361.207365892715
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(3, 20)",0.06572374581873795,60,2315.665399371784,2263.5358817035226,2341.3122809776105
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(3, 20)",0.024727357193612493,60,9807.85035575468,9761.04476461977,9857.450131439873
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,"(3, 20)",0.12820912363888554,60,149.1936673385868,146.75283671933784,152.08670895412305
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,"(3, 20)",0.11557417817212895,60,266.69812578972,260.84515017951486,271.9512070703074
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,"(3, 20)",0.0699680937516031,60,62.75105973310224,60.26161930732096,64.57985290916417
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,"(3, 20)",0.04190775193154551,60,65.61145017607635,62.90125404530745,66.13330692720712
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_Actuate,"(3, 20)",0.01697956331204966,60,124.34109663125244,123.93672179892214,124.8882949051692
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(3, 20)",0.058685970499774254,60,44.73904314948398,44.17709169235968,46.04942004854979
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,"(3, 20)",0.033873587589704775,60,4699.510969706433,4625.876610558806,4786.521764280549
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,"(3, 20)",0.03575559665858441,60,11853.816059654491,11760.286811215185,12001.521100517955
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,"(3, 20)",0.08449299263289921,60,1350.2490218253542,1315.3888590912577,1419.2682948411646
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,"(3, 20)",0.12748913954462424,60,415.55326087748335,390.98157188120217,431.9752090389357
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,"(3, 20)",0.10345859201730463,60,308.7652243547629,303.1885485678539,316.19846743295017
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,"(3, 20)",0.09940646084021265,60,290.76019011901735,288.8644572335781,303.0375717068642
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,"(3, 20)",0.18661677985852237,60,225.90374371106145,222.85862004136115,233.9900008027709
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,"(3, 20)",0.11736023812921356,60,454.1523173464008,443.8552644394662,472.0758408345753
