Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(3, 20)",0.030683232826202455,60,42.25551155174793,41.12479102814154,42.92456323110882
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(3, 20)",0.022804878860454056,60,42.935351197190215,42.337816051276,43.5413969311045
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(3, 20)",0.09298987667776192,60,63.06230856946928,58.12613082811413,66.74750079189566
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(3, 20)",0.026366202197941693,60,43.56467186444701,43.03603223330775,44.64057521381855
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(3, 20)",0.10434279835942029,60,68.37684581924145,65.50621617188781,71.47585321243724
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(3, 20)",0.09523877262069345,60,51.614015728996094,48.70100058858152,53.44223107569721
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(3, 20)",0.1095767450532445,60,58.25124766604479,53.88591018592872,64.08138880200188
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(3, 20)",0.029734005902431932,60,41.931184646571516,41.15335998968141,42.71384385665529
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(3, 20)",0.022309816070983878,60,42.6910162246387,42.19017295060325,43.179624979389224
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(3, 20)",0.028863498952160956,60,98.60597681480513,96.35396825396823,100.2918459476617
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(3, 20)",0.026115845894502443,60,44.56478229261419,43.71557515558669,45.426689378926355
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(3, 20)",0.023649629675898537,60,129.44028596346962,128.04741336998134,131.4436355392095
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(3, 20)",0.025731200389336965,60,49.90607206824512,49.2398857086842,50.8917577229192
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(3, 20)",0.04151996846544358,60,61.99569281151997,61.34543261741075,63.2453284168803
org.jenetics.internal.util.IndexSorterPerf.heapSort160,"(3, 20)",0.015343719439339655,60,11052.287981064186,10980.983686204861,11189.814138030662
org.jenetics.internal.util.IndexSorterPerf.heapSort250,"(3, 1)",0.024902208476824738,3,19899.820819384666,19853.72028472581,20349.269771421583
org.jenetics.internal.util.IndexSorterPerf.heapSort320,"(2, 2)",0.012925973472962857,4,26429.89577383857,26244.89945695155,26698.72852050859
org.jenetics.internal.util.IndexSorterPerf.heapSort80,"(3, 20)",0.0207913249729261,60,5239.998611078404,5197.109246489989,5312.677196697015
org.jenetics.internal.util.IndexSorterPerf.insertionSort160,"(3, 20)",0.03063343691996895,60,16305.150871192549,15939.661188369151,16595.342443943213
org.jenetics.internal.util.IndexSorterPerf.insertionSort250,"(3, 20)",0.033094275458992226,60,39172.211498755016,38647.05805820836,40083.5316008983
org.jenetics.internal.util.IndexSorterPerf.insertionSort320,"(3, 20)",0.024055221090218553,60,62677.91381941865,61107.64472718375,63546.4631043257
org.jenetics.internal.util.IndexSorterPerf.insertionSort80,"(3, 20)",0.0419642074568603,60,4389.62266834509,4293.760427002429,4504.77028072891
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,"(3, 20)",0.013683188882383034,60,39.74076620537736,39.65559717020391,39.85793956882439
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,"(1, 7)",0.01083335745802088,7,38.16277100271003,37.96708260403139,38.67342229060032
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,"(3, 20)",0.01606239467616081,60,36.51458355698198,36.15166232860171,36.60432785302789
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,"(1, 3)",0.013284700998061874,3,35.87382267824257,35.525979153506,36.002552161443944
org.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,"(3, 20)",0.010600678145532985,60,51.407665295238445,51.259316294017935,51.61367560335093
org.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,"(1, 4)",0.006236972890927914,4,38.26829277203003,38.20131547229588,38.494731767784586
org.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,"(1, 4)",0.008462345584308174,4,38.74142341395566,38.58266608282247,38.96641651031895
org.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,"(3, 1)",0.018004897893941097,3,50.07153519347801,49.68363353858549,50.58516641713693
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(1, 3)",0.013939535325574546,3,37.876673164392464,37.71966527196653,38.24764849555682
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(3, 20)",0.011791236519286227,60,37.516240742141704,37.24236016195167,37.84925165869465
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(2, 8)",0.06294482164620079,16,36.01876090652296,35.706623070178665,37.47453964674934
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(3, 20)",0.015710513210623035,60,36.96977451950778,36.869632054987036,37.32043804506579
