Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(3, 20)",0.06077244610897023,60,14997.73384618905,14748.746715833142,15151.44778844455
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(3, 20)",0.02391411565792563,60,7957.958928321956,7886.449564233371,8056.566146331628
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(3, 20)",0.047496956164029554,60,2971.4723865994097,2937.706110167801,3064.277501233239
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(3, 20)",0.04611888915206895,60,3173.161419626729,3084.0504917070307,3234.2891422905304
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(3, 20)",0.019534462138254903,60,7853.227868961962,7818.116794200564,7895.261917870079
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(3, 20)",0.036769783145882896,60,1268.1447819863042,1227.6008902379613,1303.4139319544372
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(3, 20)",0.0362774129058462,60,1377.3111148185876,1360.0202602441504,1419.60562184196
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(3, 20)",0.016313654518263093,60,25415.265971034805,25337.451538073627,25547.7333874816
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(3, 20)",0.03697523336966158,60,5874.99529272771,5804.085634265144,6007.11289974738
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(3, 20)",0.02924950241203216,60,6298.4631379072025,6242.842343639527,6430.940050878228
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(1, 3)",0.047140775339670475,3,28248.065547832965,27261.1127688538,28592.74848062448
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(3, 20)",0.02460855361037527,60,7313.722496168761,7197.693620844564,7385.821603183453
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(3, 20)",0.016776501849052307,60,7292.203312714785,7216.079171880332,7336.446276325448
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(3, 20)",0.02345145633267186,60,105319.40959355666,104602.60245000524,109459.25328659073
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(3, 20)",0.011525978690363155,60,53111.36036568356,52963.59568508981,53300.0809439906
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(1, 3)",0.013859953824033355,3,26113.12174959452,25819.15481905942,26181.08148071016
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(3, 20)",0.016191819559593392,60,4730.236913649485,4685.79070634743,4777.344721061239
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(3, 20)",0.024319376459301205,60,1658.5226185651125,1654.1863189818296,1663.6627212362746
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(1, 3)",0.17505286240625023,3,2558.851773077072,2491.6977819578337,2939.632109308284
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(3, 20)",0.024675513499870787,60,4694.761796456012,4634.798059739596,4776.739193332689
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(3, 20)",0.043933704441607734,60,1172.9023190645487,1158.1151395992729,1206.973051641858
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(3, 20)",0.03229565083902481,60,3097.617206512854,3077.197049924357,3181.944175746694
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(3, 20)",0.03098666725294189,60,2017.486649006155,1985.7047771399893,2053.745671924453
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(3, 20)",0.06724275673455637,60,478.9803230468864,474.7676837675468,482.2330374953023
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(3, 20)",0.01515308048390297,60,9063.3463867749,9028.237747101113,9142.14216630913
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(3, 20)",0.018800192095454017,60,8490.168439003235,8444.546945969765,8588.834974777805
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(3, 20)",0.02482767140649979,60,2335.541930752259,2310.540037958014,2380.305262648041
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(3, 20)",0.025149947881055467,60,9908.633475826618,9778.413822112867,10103.901394221057
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(1, 3)",0.02424359758261813,3,10276.215740589863,10098.2331457262,10347.365584813228
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(3, 20)",0.027278279524699647,60,2650.570054981673,2623.9450023102763,2682.158724333467
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(1, 3)",0.0019086641969925983,3,44339.84559667874,44281.411432604094,44366.04130839465
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(3, 20)",0.016210606418214556,60,15705.103198781242,15569.715048277443,15769.005988023951
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(1, 3)",0.01856808309773972,3,21020.896750721364,20824.04397068621,21214.36172834261
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(3, 20)",0.013682552068364157,60,11193.40622250417,11129.919549335444,11258.620659146209
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,"(1, 3)",0.030208639393557644,3,120.91008731190786,120.90157004830918,124.55409927495818
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(3, 20)",0.011332199034145604,60,44.67932578302916,44.50781549469739,44.89686700499098
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,"(1, 3)",0.008042903432361252,3,120.9197205256339,120.7995465272315,121.77209216248728
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(1, 3)",0.007005844197749064,3,45.02240139645069,44.980917934647046,45.2963378642391
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_Actuate,"(1, 3)",0.0029260692563413153,3,120.677659080353,120.42073482279716,120.77384601095942
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(3, 20)",0.015361596671793688,60,44.601425778058605,44.50785624762564,44.77644164930687
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,"(3, 20)",0.019761860844822177,60,4642.814960379099,4616.241926163072,4688.094851148703
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,"(1, 3)",0.009139520478338317,3,11690.680180595227,11635.110330158142,11741.957541074396
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,"(3, 20)",0.03838068377058731,60,1369.1814800023346,1332.72435605904,1399.8601197801297
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,"(3, 20)",0.10305066649609845,60,406.95225969246474,375.64162356082096,438.54096712576654
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,"(3, 20)",0.07060630984615836,60,294.6308691434227,292.3918118182539,297.0099904797321
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,"(3, 20)",0.09595636686463947,60,287.82514536960497,285.4387215451828,299.7392477989614
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,"(3, 20)",0.24345536351125202,60,225.92820848467974,223.2266000713796,237.07506304286915
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,"(3, 20)",0.1609698732447475,60,415.9450626833201,411.6982746395651,421.5945835054696
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,"(3, 20)",0.09294177335027003,60,159.76705277052653,156.50802440707412,162.46133410337856
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,"(3, 20)",0.08803507372999457,60,260.8122989408385,257.96016496734023,270.21120596135233
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,"(1, 3)",0.006960947739060627,3,56.16675655632711,55.79380435515405,56.18477821221518
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,"(3, 20)",0.025882930579739942,60,67.85143648281554,67.60289750090547,68.00211755829133
